scheduler-service-ratio vs time(sec)

time(sec)           Queue[0]        Queue[1]        Queue[2]

80.011689600           1.000000        0.000000        0.000000 
82.012176000           0.122466        0.244932        0.632601 
84.012662400           0.121622        0.244932        0.633446 
86.013148800           0.122466        0.244932        0.632601 
88.013635200           0.122466        0.244932        0.632601 
90.014121600           0.122466        0.244932        0.632601 
92.014608000           0.007601        0.358953        0.633446 
94.015094400           0.000000        0.367399        0.632601 
96.015580800           0.000000        0.367399        0.632601 
98.016067200           0.000000        0.367399        0.632601 
100.016553600          0.000000        0.366554        0.633446 
102.017829600          0.000000        0.023438        0.976563 
104.020329600          0.000000        0.000000        1.000000 
106.022829600          0.000000        0.000000        1.000000 
108.025329600          0.000000        0.000000        1.000000 
110.027829600          0.000000        0.000000        1.000000 
112.030329600          0.000000        0.000000        1.000000 
114.032829600          0.000000        0.000000        1.000000 
116.035329600          0.000000        0.000000        1.000000 
118.037829600          0.000000        0.000000        1.000000 
