Freq:2:1.2:1.3
Nodes:3

#time  node1  node2     pathloss 
10.000005000  1  3 133.251986   1000.000000
10.002434517  3  2 1000.000000  151.830938
11.000005000  1  3 133.292733   1000.000000
11.002434537  3  2 1000.000000  151.816932
12.000005000  1  3 133.326616   1000.000000
12.002434553  3  2 1000.000000  151.805252
13.000005000  1  3 133.367188   1000.000000
13.002434573  3  2 1000.000000  151.791225
14.000005000  1  3 133.400926   1000.000000
14.002434590  3  2 1000.000000  151.779528
15.000005000  1  3 133.441326   1000.000000
15.002434610  3  2 1000.000000  151.765481
16.000005000  1  3 133.474921   1000.000000
16.002434627  3  2 1000.000000  151.753766
17.000005000  1  3 133.515149   1000.000000
17.002434647  3  2 1000.000000  151.739698
18.000005000  1  3 133.555284   1000.000000
18.002434667  3  2 1000.000000  151.725618
19.000005000  1  3 133.588659   1000.000000
19.002434683  3  2 1000.000000  151.713877
20.000005000  1  3 133.628625   1000.000000
20.002434703  3  2 1000.000000  151.699776
21.000005000  1  3 133.661859   1000.000000
21.002434720  3  2 1000.000000  151.688017
22.000005000  1  3 133.701657   1000.000000
22.002434740  3  2 1000.000000  151.673896
23.000005000  1  3 133.734753   1000.000000
23.002434757  3  2 1000.000000  151.662119
24.000005000  1  3 133.774384   1000.000000
24.002434777  3  2 1000.000000  151.647976
25.000005000  1  3 133.807341   1000.000000
25.002434793  3  2 1000.000000  151.636182
26.000005000  1  3 133.846808   1000.000000
26.002434813  3  2 1000.000000  151.622018
27.000005000  1  3 133.886185   1000.000000
27.002434833  3  2 1000.000000  151.607843
28.000005000  1  3 133.918931   1000.000000
28.002434850  3  2 1000.000000  151.596022
29.000005000  1  3 133.958145   1000.000000
29.002434870  3  2 1000.000000  151.581825
30.000005000  1  3 133.990755   1000.000000
30.002434887  3  2 1000.000000  151.569986
31.000005000  1  3 134.029808   1000.000000
31.002434907  3  2 1000.000000  151.555768
32.000005000  1  3 134.062284   1000.000000
32.002434923  3  2 1000.000000  151.543911
33.000005000  1  3 134.101177   1000.000000
33.002434943  3  2 1000.000000  151.529672
34.000005000  1  3 134.133520   1000.000000
34.002434960  3  2 1000.000000  151.517797
35.000005000  1  3 134.172253   1000.000000
35.002434980  3  2 1000.000000  151.503536
36.000005000  1  3 134.210900   1000.000000
36.002435000  3  2 1000.000000  151.489264
37.000005000  1  3 134.243040   1000.000000
37.002435017  3  2 1000.000000  151.477361
38.000005000  1  3 134.281530   1000.000000
38.002435037  3  2 1000.000000  151.463068
39.000005000  1  3 134.313540   1000.000000
39.002435053  3  2 1000.000000  151.451147
40.000005000  1  3 134.351874   1000.000000
40.002435073  3  2 1000.000000  151.436832
41.000005000  1  3 134.383755   1000.000000
41.002435090  3  2 1000.000000  151.424893
42.000005000  1  3 134.421935   1000.000000
42.002435110  3  2 1000.000000  151.410556
43.000005000  1  3 134.453687   1000.000000
43.002435127  3  2 1000.000000  151.398599
44.000005000  1  3 134.491714   1000.000000
44.002435147  3  2 1000.000000  151.384241
45.000005000  1  3 134.529657   1000.000000
