Freq:2:2.4:2.6
Nodes:6

#time  node1  node2     pathloss 
0   1   2   95.2400000  
0   1   3   300.1510000 
0   2   1   295.2400000 100.0000000

10  1   2   195.2400000 5.2400000
10  1   3   320.1510000 3.1510000
10  2   3   196.7650000 6.7650000

20  1   2   295.2400000 25.2400000
20  1   3   400.1510000 200.1510000
20  2   3   598.2400000 698.2400000
20  2   1   395.2400000 300.0000000

30  1   2   295.2400000 195.2400000
30  1   3   100.1510000 400.1510000

40  1   2   95.2400000  95.2400000
40  1   3   300.0000000 300.1510000
40  2   3   96.7650000  960.0000000


0   4   5   95.2400000  
0   4   6   300.1510000 
0   5   4   295.2400000 100.0000000

10  4   5   195.2400000 5.2400000
10  4   6   320.1510000 3.1510000
10  5   6   196.7650000 6.7650000

20  4   5   295.2400000 25.2400000
20  4   6   400.1510000 200.1510000
20  5   6   598.2400000 698.2400000
20  5   4   395.2400000 300.0000000

30  4   5   295.2400000 195.2400000
30  4   6   100.1510000 400.1510000

40  4   5   95.2400000  95.2400000
40  4   6   300.0000000 300.1510000
40  5   6   96.7650000  960.0000000

150 5   6   96.7650000  96.0000000
200 5   6   96.7650000  960.0000000
250 5   6   96.7650000  100.0000000
